00001     Alice Johnson                 090088070056084049437B
00002     Bob Smith                     075058086073056058406B
00003     Charlie Lee                   062097045099047097447B
00004     Diana Miller                  079050074068054070395C
00005     Ethan Brown                   091088047053072070421B
00006     Fiona Green                   059078053056097059402B
00007     George White                  065077078051054089414B
00008     Hannah Black                  045062046083059090385C
00009     Ian Gray                      058063063062058084388C
00010     Kevin Adams                   077088097074070083489A
00011     Laura Bennett                 053060092095054052406B
00012     Michael Carter                097069096070064097493A
00013     Natalie Davis                 051060072073046062364C
00014     Oliver Evans                  049068054045080054350C
00015     Paige Foster                  090062073099094090508A
00016     Quentin Harris                066084056099099056460A
00017     Rachel Irwin                  050087070051066071395C
00018     Samuel James                  057085095053054088432B
00019     khin oo thi han               094049070076050076415B
00020     kay zin thant                 057098054094075083461A
00021     Nadi Lin                      099064057091095066472A
00022     Bay Bay                       073093072082055099474A
00023     David Johdan                  079078054053053081398C
00024     Alena                         045094095052095078459A
