00012     Michael Carter                0680990740870800850493A0001
00001     jyut jyut                     0770990570670960780474A0002
00016     Quentin Harris                0980630900950590570462A0003
00015     Paige Foster                  0910630650830790800461A0004
00024     Alena                         0860930640640630900460A0005
00023     David Johdan                  0980940520980490680459A0006
00011     Laura Bennett                 0820790670690640820443B0007
00010     Kevin Adams                   0690980530830640710438B0008
00019     khin oo thi han               0590950540630820820435B0009
00018     Samuel James                  0950690640720730570430B0010
00002     Bob Smith                     0490970540930770540424B0011
00014     Oliver Evans                  0820770560870450770424B0012
00021     Nadi Lin                      0700550690880490840415B0013
00005     Ethan Brown                   0960790700650470480405B0014
00013     Natalie Davis                 0660470520780670940404B0015
00006     Fiona Green                   0670490710680500970402B0016
00022     Bay Bay                       0980570480540640800401B0017
00009     Ian Gray                      0500620580700810740395C0018
00003     Charlie Lee                   0580480760470870790395C0019
00004     Diana Miller                  0710640530490780740389C0020
00017     Rachel Irwin                  0960550730590470550385C0021
00020     kay zin thant                 0590610450800450890379C0022
00007     George White                  0580610740520610680374C0023
00008     Hannah Black                  0500560890500570630365C0024
